Filename,Row,Columm,Mode,System,Time_M2,Time_Jimmy,Time_Louise,Time_Thelma,ARI
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,69,SS,M2,219.3345168,592.2031954,763.942122,692.8777386,0.002415372
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,69,SS,M2,238.521024,691.7109696,899.2242605,823.1360538,0.003912228
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,25,SS,M2,175.796021,492.2288588,644.819805,580.8300534,0.0023925
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,25,SS,M2,103.2190962,278.6915597,359.5121121,326.0691249,3.66E-05
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,25,SS,M2,140.6871102,407.9926196,530.3904055,485.5112173,-0.000791164
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,25,SS,M2,116.5415251,326.3162703,427.4743141,385.0531989,0.009323536
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,25,SS,M2,118.1245313,318.9362345,411.4277425,373.1553944,0.008057811
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,25,SS,M2,124.061589,359.7786081,467.7121905,428.1365436,-0.000673398
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,25,SS,M2,122.3274341,342.5168155,448.6970283,404.1698423,0.015758344
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,25,SS,M2,248.700742,671.4920034,866.2246844,785.645644,-0.000436656
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,25,SS,M2,124.3553119,360.6304045,468.8195259,429.1501814,0.001408311
BNG(lymph_COMMA_1000_COMMA_1)_OpenML,1000000,18,SS,M2,85.66937184,239.8742412,314.2352559,283.0516046,-0.000304264
BNG(lymph_COMMA_1000_COMMA_10)_OpenML,1000000,18,SS,M2,85.02153301,229.5581391,296.1299995,268.5830228,-0.000845836
BNG(lymph_COMMA_5000_COMMA_1)_OpenML,1000000,18,SS,M2,78.30043006,227.0712472,295.1926213,270.2147841,0.010819127
